Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
9/20,16/20,9850,985000,84.73482298851013,5169.554132699966,171.44665810465813,638.5244371592999,0.99,0.99,0.46,-959.17
9/20,17/20,9900,990000,86.1292679309845,5163.996489286423,173.36914302408695,651.2520266026258,0.96,0.96,0.65,-900.18
9/20,18/20,9950,995000,87.93678164482117,5155.609741687775,174.92496405541897,603.4210122823715,0.99,0.99,0.92,-778.21
9/20,19/20,10000,1000000,86.85874462127686,5151.43660235405,175.30970719456673,661.2142159193754,0.96,0.96,0.54,-898.8
10/20,0/20,10050,1005000,84.88286662101746,5175.351084947586,173.89094080030918,605.4634981453419,0.95,0.95,0.46,-959.14
10/20,1/20,10100,1010000,85.09868121147156,5164.866400003433,174.50100281834602,628.40841537714,0.96,0.96,0.68,-964.21
10/20,2/20,10150,1015000,85.80427837371826,5136.070415496826,177.81534919142723,664.0386105924845,0.97,0.97,0.72,-917.53
10/20,3/20,10200,1020000,86.69491815567017,5132.919198274612,175.45835095643997,607.6565409600735,0.95,0.95,0.6,-875.94
10/20,4/20,10250,1025000,86.65210008621216,5098.772534132004,177.16803655028343,640.7133642584085,0.99,0.99,0.7,-836.75
10/20,5/20,10300,1030000,85.29673457145691,5081.659737825394,174.9806187003851,656.0866051614285,1.0,1.0,0.69,-942.22
10/20,6/20,10350,1035000,86.13553762435913,5084.646651029587,173.92379494011402,631.1121041625738,0.98,0.98,0.65,-926.64
10/20,7/20,10400,1040000,85.56865048408508,5041.465813875198,175.96716271340847,631.1891253888607,0.87,0.87,0.72,-915.82
10/20,8/20,10450,1045000,85.67701864242554,5037.693168878555,177.7073496133089,601.8865712583065,0.96,0.96,0.46,-923.28
10/20,9/20,10500,1050000,86.62593579292297,4995.166704177856,175.21448044478893,678.0143976658583,0.99,0.99,0.71,-870.16
10/20,10/20,10550,1055000,85.88313126564026,4967.212601423264,176.09544225037098,686.8799195885658,0.94,0.94,0.58,-875.08
10/20,11/20,10600,1060000,88.46438145637512,4949.029244661331,174.48296220600605,640.9094206243753,0.97,0.97,0.77,-677.97
10/20,12/20,10650,1065000,88.4229564666748,4953.528732538223,177.09436066448689,656.7292855829,0.95,0.95,1.14,-717.09
10/20,13/20,10700,1070000,89.13385915756226,4911.423584938049,175.72643369436264,631.4630036950111,0.91,0.91,1.23,-663.47
